選択,基準日,方向,銘柄,エントリー時刻,クローズ時刻,保有時間,開始時,跨ぎフラグ,勝率_30日,勝率_90日,勝率_365日,勝率_平均,勝率重視ポイント,利益効率ポイント,時間効率ポイント,最大利益ポイント,勝率重視ポイントUS,利益効率ポイントUS,時間効率ポイントUS,最大利益ポイントUS,合計変動pips_30日,合計変動pips_90日,合計変動pips_365日,合計変動pips_平均,利益効率σ_30日,利益効率σ_90日,利益効率σ_365日,利益効率σ_平均,勝率重視スコア,利益効率スコア,時間効率スコア,最大利益スコア,変動値σ_pips_30日,変動値σ_pips_90日,変動値σ_pips_365日,変動値σ_pips_平均,平均スプレッドpips_30日,平均スプレッドpips_90日,平均スプレッドpips_365日,平均スプレッドpips_平均
FALSE,2025-07-20,Long,USDJPY,12:25:00,12:47:00,22,12,0,85.71%,58.46%,55.60%,66.59%,,,,,,,,,96.5,80.5,55.7,77.6,4.09,1.15,0.33,1.86,89.03,40.5,15.56,44.55,5.13,8.70,11.34,8.39,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,12:25:00,12:53:00,28,12,0,85.71%,61.54%,52.51%,66.59%,,,,,,,,,116.1,118.0,-90.6,47.8,3.42,1.52,-0.43,1.50,89.02,32.73,14.16,51.6,7.41,9.67,12.59,9.89,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,CADJPY,12:25:00,12:43:00,18,12,0,85.71%,63.08%,50.58%,66.46%,,,,,,,,,53.1,54.6,-168.1,-20.1,3.68,1.32,-1.34,1.22,88.85,26.61,11.64,27.26,3.13,5.06,7.88,5.36,0.6,0.6,0.7,0.6
FALSE,2025-07-20,Long,EURJPY,12:25:00,12:53:00,28,12,0,85.71%,61.54%,51.74%,66.33%,,,,,,,,,95.4,80.1,-329.9,-51.5,3.44,1.20,-1.70,0.98,88.68,21.4,7.58,27.61,6.02,7.94,12.16,8.71,0.4,0.4,0.4,0.4
FALSE,2025-07-20,Long,GBPJPY,12:25:00,12:39:00,14,12,0,85.71%,63.08%,49.03%,65.94%,,,,,,,,,78.3,6.2,-376.1,-97.2,4.35,0.08,-2.35,0.70,88.16,15.16,6.83,12.44,3.92,7.60,9.97,7.16,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,EURJPY,12:25:00,12:41:00,16,12,0,85.71%,60.00%,50.97%,65.56%,,,,,,,,,87.4,42.9,-222.6,-30.8,3.84,0.71,-1.52,1.01,87.65,22.02,11.62,24.2,4.95,6.92,9.29,7.05,0.4,0.4,0.4,0.4
FALSE,2025-07-20,Long,EURJPY,12:25:00,12:43:00,18,12,0,85.71%,58.46%,51.74%,65.30%,,,,,,,,,86.1,42.1,-201.8,-24.5,3.11,0.68,-1.21,0.86,87.31,18.77,10.37,24.29,6.01,7.07,10.65,7.91,0.4,0.4,0.4,0.4
FALSE,2025-07-20,Long,EURJPY,12:25:00,12:50:00,25,12,0,85.71%,58.46%,51.74%,65.30%,,,,,,,,,93.3,50.1,-268.2,-41.6,3.14,0.77,-1.48,0.81,87.31,17.69,7.85,25.54,6.43,7.59,11.46,8.49,0.4,0.4,0.4,0.4
FALSE,2025-07-20,Long,EURJPY,12:25:00,12:49:00,24,12,0,85.71%,58.46%,50.97%,65.05%,,,,,,,,,91.3,56.2,-231.1,-27.9,3.09,0.89,-1.28,0.90,86.96,19.59,8.49,26.53,6.40,7.48,11.43,8.44,0.4,0.4,0.4,0.4
FALSE,2025-07-20,Long,GBPJPY,12:25:00,12:41:00,16,12,0,85.71%,58.46%,49.03%,64.40%,,,,,,,,,82.9,35.8,-362.4,-81.2,3.57,0.50,-1.95,0.71,86.1,15.39,7.91,16.47,5.07,8.57,11.53,8.39,0.9,0.9,1.0,0.9
